_id_x,trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,_id_y,route_id,service_id,trip_headsign,direction_id,block_id,shape_id,_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
4833,4461788-2024-JUN-FINAL-Weekday-01,13:36:00,13:41:00,3419,12,0,0,2.386,1,122,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577954,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4865,4461789-2024-JUN-FINAL-Weekday-01,13:51:00,13:56:00,3419,12,0,0,2.386,1,123,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577972,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4897,4461790-2024-JUN-FINAL-Weekday-01,14:06:00,14:11:00,3419,12,0,0,2.386,1,124,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577988,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4929,4461791-2024-JUN-FINAL-Weekday-01,14:21:00,14:26:00,3419,12,0,0,2.386,1,125,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577931,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4961,4461792-2024-JUN-FINAL-Weekday-01,14:36:00,14:41:00,3419,12,0,0,2.386,1,126,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577948,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
4993,4461793-2024-JUN-FINAL-Weekday-01,14:51:00,14:56:00,3419,12,0,0,2.386,1,127,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577936,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5025,4461794-2024-JUN-FINAL-Weekday-01,15:06:00,15:11:00,3419,12,0,0,2.386,1,128,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577954,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5057,4461795-2024-JUN-FINAL-Weekday-01,15:21:00,15:26:00,3419,12,0,0,2.386,1,129,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577972,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5089,4461796-2024-JUN-FINAL-Weekday-01,15:36:00,15:41:00,3419,12,0,0,2.386,1,130,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577988,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5121,4461797-2024-JUN-FINAL-Weekday-01,15:51:00,15:56:00,3419,12,0,0,2.386,1,131,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577931,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5153,4461798-2024-JUN-FINAL-Weekday-01,16:06:00,16:11:00,3419,12,0,0,2.386,1,132,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577948,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5185,4461799-2024-JUN-FINAL-Weekday-01,16:21:00,16:26:00,3419,12,0,0,2.386,1,133,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577936,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5217,4461800-2024-JUN-FINAL-Weekday-01,16:36:00,16:41:00,3419,12,0,0,2.386,1,134,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577954,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5249,4461801-2024-JUN-FINAL-Weekday-01,16:51:00,16:56:00,3419,12,0,0,2.386,1,135,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577972,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5281,4461802-2024-JUN-FINAL-Weekday-01,17:06:00,17:11:00,3419,12,0,0,2.386,1,136,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577988,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5313,4461803-2024-JUN-FINAL-Weekday-01,17:21:00,17:26:00,3419,12,0,0,2.386,1,137,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577931,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5345,4461804-2024-JUN-FINAL-Weekday-01,17:36:00,17:41:00,3419,12,0,0,2.386,1,138,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577948,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5377,4461805-2024-JUN-FINAL-Weekday-01,17:51:00,17:56:00,3419,12,0,0,2.386,1,139,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577936,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5409,4461806-2024-JUN-FINAL-Weekday-01,18:06:00,18:11:00,3419,12,0,0,2.386,1,140,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577954,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5441,4461807-2024-JUN-FINAL-Weekday-01,18:21:00,18:26:00,3419,12,0,0,2.386,1,141,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577972,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5473,4461808-2024-JUN-FINAL-Weekday-01,18:36:00,18:41:00,3419,12,0,0,2.386,1,142,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577988,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5505,4461809-2024-JUN-FINAL-Weekday-01,18:51:00,18:56:00,3419,12,0,0,2.386,1,143,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577931,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5537,4461810-2024-JUN-FINAL-Weekday-01,19:06:00,19:11:00,3419,12,0,0,2.386,1,144,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN,1,577948,50148,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5581,4461811-2024-JUN-FINAL-Weekday-01,05:16:00,05:18:00,3419,24,0,0,3.745,1,145,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577936,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5619,4461812-2024-JUN-FINAL-Weekday-01,05:31:00,05:33:00,3419,24,0,0,3.745,1,146,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577954,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5657,4461813-2024-JUN-FINAL-Weekday-01,05:46:00,05:48:00,3419,24,0,0,3.745,1,147,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577972,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5695,4461814-2024-JUN-FINAL-Weekday-01,06:01:00,06:03:00,3419,24,0,0,3.745,1,148,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577988,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5733,4461815-2024-JUN-FINAL-Weekday-01,06:16:00,06:18:00,3419,24,0,0,3.745,1,149,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577931,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5771,4461816-2024-JUN-FINAL-Weekday-01,06:31:00,06:33:00,3419,24,0,0,3.745,1,150,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577948,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5809,4461817-2024-JUN-FINAL-Weekday-01,06:46:00,06:48:00,3419,24,0,0,3.745,1,151,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577936,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5847,4461818-2024-JUN-FINAL-Weekday-01,07:01:00,07:03:00,3419,24,0,0,3.745,1,152,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577954,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5885,4461819-2024-JUN-FINAL-Weekday-01,07:16:00,07:18:00,3419,24,0,0,3.745,1,153,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577972,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5923,4461820-2024-JUN-FINAL-Weekday-01,07:31:00,07:33:00,3419,24,0,0,3.745,1,154,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577988,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5961,4461821-2024-JUN-FINAL-Weekday-01,07:46:00,07:48:00,3419,24,0,0,3.745,1,155,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577931,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
5999,4461822-2024-JUN-FINAL-Weekday-01,08:01:00,08:03:00,3419,24,0,0,3.745,1,156,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577948,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6037,4461823-2024-JUN-FINAL-Weekday-01,08:16:00,08:18:00,3419,24,0,0,3.745,1,157,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577936,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6075,4461824-2024-JUN-FINAL-Weekday-01,08:31:00,08:33:00,3419,24,0,0,3.745,1,158,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577954,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6113,4461825-2024-JUN-FINAL-Weekday-01,08:46:00,08:48:00,3419,24,0,0,3.745,1,159,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577972,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
6151,4461826-2024-JUN-FINAL-Weekday-01,09:01:00,09:03:00,3419,24,0,0,3.745,1,160,5-193,2024-JUN-FINAL-Weekday-01,5 CARY/MAIN/WHITCOMB,0,577988,50147,968,3419.0,Transfer Station Bay F,,37.543309,-77.432306,,,0,place_T--CTR
