_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
139,1317,1317,Hull & Swanson,,  37.488006, -77.494949,,,0,
140,1318,1318,Hull & Tynick,,  37.510935, -77.459648,,,0,
141,1319,1319,Hull & Tynick,,  37.511066, -77.459935,,,0,
142,132,132,3rd & Leigh,,  37.547024, -77.436477,,,0,
143,1320,1320,Hull & Warwick,,  37.492367, -77.488455,,,0,
144,1327,1327,Hull at Southside Plaza,,  37.500689, -77.475993,,,0,
145,1328,1328,Henrico Human Services,,  37.628336, -77.509514,,,0,
146,1334,1334,Idlewood & Randolph,,  37.543071, -77.460147,,,0,
147,1335,1335,Idlewood & Temple,,  37.543856, -77.462489,,,0,
148,1345,1345,Skipwith & Forest,,  37.603679, -77.537685,,,0,
149,1346,1346,Three Chopt & Skipwith,,  37.597107, -77.536583,,,0,
150,1349,1349,Jackson & 4th,,  37.547275, -77.435000,,,0,
151,1352,1352,Jackson & Navy Hill,,  37.546162, -77.432841,,,0,
152,1355,1355,Jahnke & Newell,,  37.520385, -77.509927,,,0,
153,1356,1356,Jahnke & Boroughbridge,,  37.519580, -77.495830,,,0,
154,1357,1357,Jahnke at 5550,,  37.518650, -77.502543,,,0,
155,1358,1358,Jahnke at 5743,,  37.519309, -77.505058,,,0,
156,1362,1362,Jahnke & Byswick,,  37.518920, -77.497970,,,0,
157,1363,1363,Jahnke & Clarence,,  37.520425, -77.494064,,,0,
158,1365,1365,Jahnke at Entrance to Shopping Center,,  37.520410, -77.513957,,,0,
159,1366,1366,Jahnke & Forest Hill,,  37.522610, -77.491894,,,0,
160,1367,1367,Jahnke & German School,,  37.519733, -77.515721,,,0,
161,1368,1368,Jahnke & Irby,,  37.518789, -77.499789,,,0,
162,1369,1369,Jahnke & Marlowe,,  37.516227, -77.522805,,,0,
163,137,137,4th & Chestnut,,  37.558624, -77.423936,,,0,
164,1370,1370,Jahnke & Newell,,  37.520296, -77.510159,,,0,
165,1371,1371,Jahnke & Oakhurst,,  37.519422, -77.504819,,,0,
166,1372,1372,Jahnke at Redd School,,  37.518470, -77.502580,,,0,
167,1373,1373,Jahnke & Spruance,,  37.519591, -77.506309,,,0,
168,1374,1374,Jahnke & Spruance,,  37.519738, -77.506442,,,0,
169,1375,1375,Jahnke & St John's Wood,,  37.518526, -77.518603,,,0,
170,1376,1376,Jahnke & Westover Gardens,,  37.517356, -77.520532,,,0,
171,1377,1377,Jefferson & 23rd,,  37.534888, -77.418838,,,0,
172,1378,1378,Jefferson & 23rd,,  37.535121, -77.418404,,,0,
173,1379,1379,Jefferson & Marshall,,  37.534684, -77.420886,,,0,
174,138,138,4th & Chestnut,,  37.558894, -77.423935,,,0,
175,1382,1382,Richmond Hwy & 1500,,  37.499859, -77.446325,,,0,
176,1384,1384,Route 1 & 4631 Falling Creek,,  37.454440, -77.441558,,,0,
177,1385,1385,Richmond Hwy & Alexander,,  37.475380, -77.444100,,,0,
178,1386,1386,Richmond Hwy & Alexander,,  37.475182, -77.443741,,,0,
179,1387,1387,Richmond Hwy & Atwell,,  37.489263, -77.445504,,,0,
180,1388,1388,Richmond Hwy & Atwell,,  37.488894, -77.445116,,,0,
181,1389,1389,Richmond Hwy & Bellmeade,,  37.491064, -77.445354,,,0,
182,1390,1390,Richmond Hwy & Bellmeade,,  37.491481, -77.445742,,,0,
183,1391,1391,Richmond Hwy & Bells,,  37.473851, -77.443620,,,0,
184,1392,1392,Richmond Hwy & Bells,,  37.472263, -77.443802,,,0,
185,1393,1393,Richmond Hwy & Boston,,  37.510960, -77.447581,,,0,
186,1394,1394,Richmond Hwy & Boston,,  37.510827, -77.447932,,,0,
187,1395,1395,Richmond Hwy & Bridge,,  37.501477, -77.446854,,,0,
188,1396,1396,Richmond Hwy & Buford,,  37.467562, -77.443393,,,0,
189,1398,1398,Richmond Hwy & Calverton,,  37.462968, -77.442925,,,0,
190,1399,1399,Richmond Hwy & Calverton,,  37.463051, -77.442419,,,0,
191,14,14,16th & Dinwiddie,,  37.513189, -77.441970,,,0,
192,1400,1400,Route 1 & Cogbill,,  37.449455, -77.441396,,,0,
193,1401,1401,Richmond Hwy & Coles,,  37.471082, -77.443779,,,0,
194,1402,1402,Richmond Hwy & Courtland,,  37.470295, -77.443152,,,0,
195,1403,1403,Richmond Hwy & Dale,,  37.465801, -77.442741,,,0,
196,1404,1404,Richmond Hwy & Dale,,  37.464937, -77.443126,,,0,
197,1405,1405,Richmond Hwy & Decatur,,  37.517565, -77.448351,,,0,
198,1406,1406,Richmond Hwy & Dinwiddie,,  37.508965, -77.447355,,,0,
199,1407,1407,Richmond Hwy & Dinwiddie,,  37.509164, -77.447746,,,0,
200,1408,1408,Richmond Hwy & Fairfax,,  37.506573, -77.447091,,,0,
201,1409,1409,Richmond Hwy & Fairfax,,  37.506161, -77.447390,,,0,
202,141,141,4th & Cypress,,  37.560344, -77.422613,,,0,
203,1410,1410,Route 1 & Falling Creek,,  37.454492, -77.441967,,,0,
204,1411,1411,Route 1 & Goolsby,,  37.452126, -77.441755,,,0,
205,1412,1412,Richmond Hwy & Gordon,,  37.505429, -77.446932,,,0,
206,1413,1413,Richmond Hwy & Halifax,,  37.504243, -77.446796,,,0,
207,1414,1414,Richmond Hwy & Hopkins,,  37.503916, -77.447115,,,0,
208,1415,1415,Richmond Hwy & Lambert,,  37.476611, -77.444213,,,0,
209,1416,1416,Richmond Hwy & Lambert,,  37.476685, -77.443874,,,0,
210,1417,1417,Richmond Hwy & Lancelot,,  37.466457, -77.443307,,,0,
211,1418,1418,Richmond Hwy & Lockhaven,,  37.482223, -77.444883,,,0,
212,1419,1419,Richmond Hwy & Lumpkin,,  37.484836, -77.444704,,,0,
213,142,142,4th & Cypress,,  37.560632, -77.422595,,,0,
214,1420,1420,Richmond Hwy & Lumpkin,,  37.484859, -77.445059,,,0,
215,1421,1421,Richmond Hwy & Maury,,  37.512467, -77.447765,,,0,
216,1422,1422,Richmond Hwy & Maury,,  37.513091, -77.448211,,,0,
217,1423,1423,Richmond Hwy & Mimosa,,  37.498665, -77.446196,,,0,
218,1424,1424,Richmond Hwy & Mimosa,,  37.498363, -77.446514,,,0,
219,1425,1425,Richmond Hwy & Oakland,,  37.496664, -77.445986,,,0,
220,1426,1426,Richmond Hwy & Ruffin,,  37.479110, -77.444130,,,0,
221,1427,1427,Richmond Hwy & Ruffin,,  37.478811, -77.444483,,,0,
222,1428,1428,Richmond Hwy & Sisco,,  37.468780, -77.443109,,,0,
